S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,03-01-2019,ODI # 4074
1,New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,04-01-2019,ODI # 4075
2,New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,05-01-2019,ODI # 4076
3,Australia,India,Australia,34 runs,Sydney,06-01-2019,ODI # 4077
4,Australia,India,India,6 wickets,Adelaide,07-01-2019,ODI # 4078
5,Australia,India,India,7 wickets,Melbourne,08-01-2019,ODI # 4079
6,South Africa,Pakistan,Pakistan,5 wickets,Gqeberha,09-01-2019,ODI # 4080
7,South Africa,Pakistan,South Africa,5 wickets,Durban,10-01-2019,ODI # 4081
8,New Zealand,India,India,8 wickets,Napier,11-01-2019,ODI # 4082
9,U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,12-01-2019,ODI # 4083
10,South Africa,Pakistan,South Africa,13 runs,Centurion,13-01-2019,ODI # 4084
11,New Zealand,India,India,90 runs,Mount Maunganui,14-01-2019,ODI # 4085
12,U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,15-01-2019,ODI # 4086
13,South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,16-01-2019,ODI # 4087
14,New Zealand,India,India,7 wickets,Mount Maunganui,17-01-2019,ODI # 4088
15,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,18-01-2019,ODI # 4089
16,South Africa,Pakistan,South Africa,7 wickets,Cape Town,19-01-2019,ODI # 4090
17,New Zealand,India,New Zealand,8 wickets,Hamilton,20-01-2019,ODI # 4091
18,New Zealand,India,India,35 runs,Wellington,21-01-2019,ODI # 4092
19,New Zealand,Bangladesh,New Zealand,8 wickets,Napier,13-02-2019,ODI # 4093
20,New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,16-02-2019,ODI # 4094
21,New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,20-02-2019,ODI # 4095
22,West Indies,England,England,6 wickets,Bridgetown,20-02-2019,ODI # 4096
23,West Indies,England,West Indies,26 runs,Bridgetown,22-02-2019,ODI # 4097
24,West Indies,England,no result,-,St George's,25-02-2019,ODI # 4098
25,West Indies,England,England,29 runs,St George's,27-02-2019,ODI # 4099
26,Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,28-02-2019,ODI # 4100
27,Afghanistan,Ireland,no result,-,Dehradun,02-03-2019,ODI # 4101
28,India,Australia,India,6 wickets,Hyderabad,02-03-2019,ODI # 4102
